TYPE,type_new,banner_code,NAME,occupant,address,date_constr,date_acqd,date_reno,sqft,rental,main_meter,main_disagg,weis_meter
Residence Hall,Res Hall - M,1431,165 W. High St,Students,165 W. High St.,,1998,,4550,0,0,0,0
Residence Hall,Res Hall - M,1425,Schuman House,Students,34 S. West St.,,1982,,4444,0,0,0,0
Residence Hall,Res Hall - M,1435,Strayer House,Students,131 S. College St.,1930,,,6845,0,0,0,0
Residence Hall,Res Hall - M,1745,Treehouse,Students,532 W. Louther St.,,2006,2006,6000,0,0,0,0
Residence Hall,Res Hall - M,1255,Vincett House ,Students,275 W. Louther St.,,2002,,2700,0,0,0,0
Residence Hall,Res Hall - M,1428,100 S. West St.,Students,100 S. West St.,,,,7190,1,0,0,0
Residence Hall,Res Hall - M,1668,141 W. High St.,Students,141 W. High St.,,,,5825,1,0,0,0
Residence Hall,Res Hall - M,1517,146 W. Louther St.,Students,146 W. Louther St.,,,2022,2864,1,0,0,0
Residence Hall,Res Hall - M,1226,Cherry Apts,Students,128-140 Cherry St.,,,,3519,1,0,0,0
Residence Hall,Res Hall - M,1840,Reed Apts.,Students,502-512 Reed St.,,,,5206,1,0,0,0
Residence Hall,Res Hall - M,1415,Reed House,Students,32 S. West St.,,1954,1958,9562,0,0,0,1
Residence Hall,Res Hall - M,1510,170 W. Louther St.,Students,170 W. Louther St.,,1900,2019,2926,0,1,0,0
Residence Hall,Res Hall - M,1433,171 W. High St.,Students,171 W. High St.,,1998,,3000,0,1,0,0
Residence Hall,Res Hall - M,1055,233 W. Louther St.,Students,233 W. Louther St.,,1986,2022,3675,0,1,0,0
Residence Hall,Res Hall - M,1450,Townhouse - 373 W. Louther St.,Students,373 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1455,Townhouse - 377 W. Louther St.,Students,377 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1460,Townhouse - 379 W. Louther St.,Students,379 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1465,Townhouse - 381 W. Louther St.,Students,381 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1470,Townhouse - 383 W. Louther St.,Students,383 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - S,1200,135 Cedar St.,Students,135 Cedar St.,,2001,,1900,0,0,0,0
Residence Hall,Res Hall - S,1265,135 N. College St.,Students,135 N. College St.,1910,1989,2019,1476,0,0,0,0
Residence Hall,Res Hall - S,1267,2 Conway St.,Students,2 Conway St.,,2012,2018,1729,0,0,0,0
Residence Hall,Res Hall - S,1515,417 W. Louther St.,Students,417 W. Louther St.,1870,,2019,1462,0,0,0,0
Residence Hall,Res Hall - S,1525,425 W. Louther St.,Students,425 W. Louther St.,1874,1987,2019,1318,0,0,0,0
Residence Hall,Res Hall - S,1545,49 S. College St.,Students,49 S. College St.,1960,1984,2017,1500,0,0,0,0
Residence Hall,Res Hall - S,1550,505 W. Louther St.,Students,505 W. Louther St.,1910,1982,2017,1492,0,0,0,0
Residence Hall,Res Hall - S,1555,507 W. Louther St.,Students,507 W. Louther St.,1900,2005,2017,1492,0,0,0,0
Residence Hall,Res Hall - S,1740,509 W. Louther St.,Students,509 W. Louther St.,1902,2005,2017,1532,0,0,0,0
Residence Hall,Res Hall - S,1283,513 W. Louther St.,Students,513 W. Louther St.,1910,2014,2017,1532,0,0,0,0
Residence Hall,Res Hall - S,1565,515 W. Louther St.,Students,515 W. Louther St.,1875,2009,2017,1268,0,0,0,0
Residence Hall,Res Hall - S,1565,519 W. Louther St.,Students,519 W. Louther St.,1910,2000,2017,1330,0,0,0,0
Residence Hall,Res Hall - S,1570,521 W. Louther St.,Students,521 W. Louther St.,1910,1983,2017,1448,0,0,0,0
Residence Hall,Res Hall - S,1575,527 W. Louther St.,Students,527 W. Louther St.,1910,1984,2017,1244,0,0,0,0
Residence Hall,Res Hall - S,1580,529 W. Louther St.,Students,529 W. Louther St.,1910,1991,2017,1352,0,0,0,0
Residence Hall,Res Hall - S,1280,531 W. Louther St.,Students,531 W. Louther St.,1910,2001,2017,1636,0,0,0,0
Residence Hall,Res Hall - S,1295,538 W. Louther St.,Students,538 W. Louther St.,,2006,,1200,0,0,0,0
Residence Hall,Res Hall - S,1340,Carriage House,Students,129 W. Chapel Ave.,1930,,,725,0,0,0,0
Residence Hall,Res Hall - S,1490,139 N. College St.,Students,139 N. College St.,1910,1987,2019,1728,0,0,0,0
Residence Hall,Res Hall - S,1560,51 S. College St.,Students,51 S. College St.,1960,1984,2019,1500,0,0,0,0
Residence Hall,Res Hall - S,1432,169 W. High St.,Students,169 W. High St.,,1998,,1489,0,1,0,0
Residence Hall,Res Hall - U,1667,"133 W. High St. (2, 5)",Students,133 W. High St,,,,,1,0,0,0
Residence Hall,Res Hall - U,1518,152 W. Louther St.,Students,152 W. Louther St.,,,,,1,0,0,0
Residence Hall,Res Hall - U,1521,154 W. Louther St. (1),Students,152 W. Louther St.,,,,,1,0,0,0
Residence Hall,Res Hall - U,1821,19-21 W. High St.,Students,19-23 W. High,,,,,1,0,0,0
Residence Hall,Res Hall - U,1822,23 W. High St.,Students,19-23 W. High,,,,,1,0,0,0
