occupants,address,semester,year,NAME
4,527 W Louther St,Fall,2023,527 W. Louther St.
5,529 W Louther St,Fall,2023,529 W. Louther St.
4,531 W Louther St,Fall,2023,531 W. Louther St.
13,532 W Louther St,Fall,2023,Treehouse
158,Adams Hall,Fall,2023,Adams
29,Armstrong Hall,Fall,2023,Armstrong / Quad 8
38,Atwater Hall,Fall,2023,Atwater / Quad 7
106,Baird-McClintock,Fall,2023,Baird McClintock / Quad 4-5
40,Buchanan Hall,Fall,2023,Buchanan / Quad 2
37,Conway Hall,Fall,2023,Conway / Quad 1
114,Davidson-Wilson,Fall,2023,Davidson Wilson / Quad 9-10
148,Drayer Hall,Fall,2023,Drayer Hall
115,Goodyear,Fall,2023,Goodyear + Goodyear Arts Studio
127,Highstreet Residence,Fall,2023,High Street Residence Hall
94,Kisner-Woodward Hall,Fall,2023,Kisner - Woodward 
30,Longsdorff Hall,Fall,2023,Longsdorff / Quad 6
68,Malcolm Hall,Fall,2023,Malcolm Hall
25,Matthews House,Fall,2023,Matthews House
97,McKenney Hall - Suites,Fall,2023,McKenney Hall 
147,Morgan Hall,Fall,2023,Morgan Hall
20,Reed House,Fall,2023,Reed House 
33,Spradley-Young Hall,Fall,2023,Spradley-Young  / Quad 3
10,Strayer House,Fall,2023,Strayer House
26,Stuart Hall,Fall,2023,Stuart Hall
24,Todd House,Fall,2023,Todd House 
8,Vincett House,Fall,2023,Vincett House
64,Witwer Hall,Fall,2023,Witwer Hall
