banner_code,NAME,TYPE,type_new,occupant,address,date_constr,date_acqd,date_reno,sqft,rental,main_meter,weis_meter
1425,Schuman House,Residence Hall,Res Hall - M,Students,34 S. West St.,,1982,,4444,0,0,0
1435,Strayer House,Residence Hall,Res Hall - M,Students,131 S. College St.,1930,,,6845,0,0,0
1450,Townhouse - 373 W. Louther St.,Residence Hall,Res Hall - M,Students,373 W. Louther St.,1985,,2019,2016,0,1,0
1455,Townhouse - 377 W. Louther St.,Residence Hall,Res Hall - M,Students,377 W. Louther St.,1985,,2019,2016,0,1,0
1460,Townhouse - 379 W. Louther St.,Residence Hall,Res Hall - M,Students,379 W. Louther St.,1985,,2019,2016,0,1,0
1465,Townhouse - 381 W. Louther St.,Residence Hall,Res Hall - M,Students,381 W. Louther St.,1985,,2019,2016,0,1,0
1470,Townhouse - 383 W. Louther St.,Residence Hall,Res Hall - M,Students,383 W. Louther St.,1985,,2019,2016,0,1,0
1745,Treehouse,Residence Hall,Res Hall - M,Students,532 W. Louther St.,,2006,2006,6000,0,0,0
1255,Vincett House ,Residence Hall,Res Hall - M,Students,275 W. Louther St.,,2002,,2700,0,0,0
1200,135 Cedar St.,Residence Hall,Res Hall - S,Students,135 Cedar St.,,2001,,1900,0,0,0
1265,135 N. College St.,Residence Hall,Res Hall - S,Students,135 N. College St.,1910,1989,2019,1476,0,0,0
1490,139 N. College St.,Residence Hall,Res Hall - S,Students,139 N. College St.,1910,1987,2019,1728,0,,
1432,169 W. High St.,Residence Hall,Res Hall - S,Students,169 W. High St.,,1998,,1489,0,1,0
1267,2 Conway St.,Residence Hall,Res Hall - S,Students,2 Conway St.,,2012,2018,1729,0,0,0
1515,417 W. Louther St.,Residence Hall,Res Hall - S,Students,417 W. Louther St.,1870,,2019,1462,0,0,0
1525,425 W. Louther St.,Residence Hall,Res Hall - S,Students,425 W. Louther St.,1874,1987,2019,1318,0,0,0
1545,49 S. College St.,Residence Hall,Res Hall - S,Students,49 S. College St.,1960,1984,2017,1500,0,0,0
1550,505 W. Louther St.,Residence Hall,Res Hall - S,Students,505 W. Louther St.,1910,1982,2017,1492,0,0,0
1555,507 W. Louther St.,Residence Hall,Res Hall - S,Students,507 W. Louther St.,1900,2005,2017,1492,0,0,0
1740,509 W. Louther St.,Residence Hall,Res Hall - S,Students,509 W. Louther St.,1902,2005,2017,1532,0,0,0
1560,51 S. College St.,Residence Hall,Res Hall - S,Students,51 S. College St.,1960,1984,2019,1500,0,,
1283,513 W. Louther St.,Residence Hall,Res Hall - S,Students,513 W. Louther St.,1910,2014,2017,1532,0,0,0
1565,515 W. Louther St.,Residence Hall,Res Hall - S,Students,515 W. Louther St.,1875,2009,2017,1268,0,0,0
1565,519 W. Louther St.,Residence Hall,Res Hall - S,Students,519 W. Louther St.,1910,2000,2017,1330,0,0,0
1570,521 W. Louther St.,Residence Hall,Res Hall - S,Students,521 W. Louther St.,1910,1983,2017,1448,0,0,0
1575,527 W. Louther St.,Residence Hall,Res Hall - S,Students,527 W. Louther St.,1910,1984,2017,1244,0,0,0
1580,529 W. Louther St.,Residence Hall,Res Hall - S,Students,529 W. Louther St.,1910,1991,2017,1352,0,0,0
1280,531 W. Louther St.,Residence Hall,Res Hall - S,Students,531 W. Louther St.,1910,2001,2017,1636,0,0,0
1295,538 W. Louther St.,Residence Hall,Res Hall - S,Students,538 W. Louther St.,,2006,,1200,0,0,0
1340,Carriage House,Residence Hall,Res Hall - S,Students,129 W. Chapel Ave.,1930,,,725,0,0,0
1428,100 S. West St.,Residence Hall,Res Hall - U,Students,100 S. West St.,,,,7190,1,0,0
1667,"133 W. High St. (2, 5)",Residence Hall,Res Hall - U,Students,133 W. High St,,,,,1,0,0
1668,141 W. High St.,Residence Hall,Res Hall - U,Students,141 W. High St.,,,,5825,1,0,0
1517,146 W. Louther St.,Residence Hall,Res Hall - U,Students,146 W. Louther St.,,,2022,2864,1,0,0
1518,152 W. Louther St.,Residence Hall,Res Hall - U,Students,152 W. Louther St.,,,,,1,0,0
1521,154 W. Louther St. (1),Residence Hall,Res Hall - U,Students,152 W. Louther St.,,,,,1,0,0
1821,19-21 W. High St.,Residence Hall,Res Hall - U,Students,19-23 W. High,,,,,1,0,0
1822,23 W. High St.,Residence Hall,Res Hall - U,Students,19-23 W. High,,,,,1,0,0
1823,27 W. High St.,Residence Hall,Res Hall - U,Students,25-27 W. High St.,1905,,,11750,1,0,0
1226,Cherry Apts,Residence Hall,Res Hall - U,Students,128-140 Cherry St.,,,,3519,1,0,0
1365,Factory Apts.,Residence Hall,Res Hall - U,Students,230-236 W. North St.,,,,13000,1,0,0
1840,Reed Apts.,Residence Hall,Res Hall - U,Students,502-512 Reed St.,,,,5206,1,0,0
